FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
77.000000 244.000000 290.000000 89.000000
307.000000 122.000000 131.000000 245.000000
183.000000 249.000000 323.000000 157.000000
337.000000 187.000000 239.000000 249.000000
289.000000 252.000000 348.000000 217.000000
359.000000 239.000000 344.000000 251.000000
389.000000 256.000000 373.000000 268.000000
441.000000 258.000000 386.000000 293.000000
392.000000 315.000000 492.000000 261.000000
538.000000 262.000000 401.000000 334.000000
411.000000 356.000000 588.000000 265.000000
636.000000 265.000000 420.000000 375.000000
429.000000 396.000000 637.000000 290.000000
508.000000 172.000000 246.000000 325.000000
